言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
切切在心 切切形容情意恳切真挚。牢牢地记在心里。形容殷切的思念。
神色不惊 神色神情。神情显得没有受到惊动而十分镇定。
切理餍心 指切合事理而令人心满意足。同切理厌心”。
切齿腐心 切齿咬紧牙齿；腐心形容心中极恨。形容愤恨到极点。
靡然从风 指群起效尤而成风气。
言而有信 说话靠得住，有信用。
修心养性 修心使心灵纯洁；养性使本性不受损害。通过自我反省体察，使身心达到完美的境界。
急不择言 急得来不及选择词语，形容说话十分急迫或紧张。
西风落叶 形容秋天的景象。多比喻人或事物已趋衰落。
尽力而为 尽全部用出。用全部的力量去做。
横行不法 横行行动蛮横。肆无忌惮，专做违法的事。
不直一文 鄙视之词，犹言毫无价值。比喻无能或品格卑下。
意气相得 形容志趣极其相合。
前言往行 指前代圣贤的言行。
日落西山 太阳快要落山。比喻人到老年将死或事物接近衰亡。
口出狂言 嘴里说出狂妄自大的话。指说话狂妄、放肆。也指胡说八道。
潜心笃志 指专心致志。
触景伤心 被眼前的景物所触动而引起伤感。
迎风待月 指男女秘密约会。
机心械肠 机巧诈变的心计。
飘风急雨 来势急遽而猛烈的风雨。同飘风暴雨”。
诗酒风流 作诗饮酒。古人以此为风流韵事，故称。
不可胜道 无法尽说。极言其多。
言听行从 指说话、做事有人听从。形容威望很高。
安身之地 存身的地方。批在某地居住、生活，或以某地作为建业的根基。
心服首肯 指心里信服，并点头同意。
和风细雨 和风指春天的风。温和的风，细小的雨。比喻方式和缓，不粗暴。
目不忍见 形容景象极其悲惨。同目不忍视”。
枯脑焦心 指竭尽心力。
际遇风云 遭逢到好的际遇。同际会风云”。
谲而不正 谲欺诈。诡诈而不正派。
切齿拊心 咬牙捶胸。极端痛恨的样子。
言多伤行 话多易出问题，以致言行不一，使品行受损害。
反风灭火 比喻施行德政。
剖心泣血 形容非常悲伤。同剖肝泣血”。
不知轻重 不懂得事情要紧不要紧。
做贼心虚 虚怕。指做了坏事怕人知道，心里老是不安。
乱箭攒心 攒积聚。乱箭身在心上。比喻内心极度痛苦。
云情雨意 ①云和雨的状态。②指男女欢会之情。
北风之恋 比喻对故土的怀念之情。
高不可登 形容难以达到。也形容人高高在上，使人难接近。同高不可攀”。
林下风韵 指女子态度娴雅、举止大方。同林下风气”。
人不聊生 聊依赖，凭借。指老百姓无法生活下去。
不远千里 不以千里为远。形容不怕路途遥远。
椎心泣血 椎心捶胸脯；泣血哭得眼中流血。捶拍胸膛，哭泣出血。形容非常悲痛。
隐忍不言 隐忍勉强忍耐，把事情藏在心里。把事情藏在心里不说。
设心处虑 处心积虑；用尽心思。同设心积虑”。
甘拜下风 表示真心佩服，自认不如。
密云不雨 密云满天乌云。满天乌云不下雨。比喻事物正在酝酿，一时还没有发作。
一虎不河 原指空手搏虎，徒步渡河，比喻有勇无谋，冒险行事◇在元剧中比喻不顾一切。
一日千里 原形容马跑得很快◇比喻进展极快。
苦雨凄风 苦雨久下成灾的雨；凄风寒冷的风。形容天气恶劣◇用来比喻境遇悲惨凄凉。
凄风苦雨 凄风寒冷的风；苦雨久下成灾的雨。形容天气恶劣◇用来比喻境遇悲惨凄凉。
竹柏异心 比喻志向不合或表象不同。
独运匠心 匠心精巧的心思。形容精美独到的艺术构思。
匠心独运 匠心工巧的心思。独创性地运用精巧的心思。
春风夏雨 春风和煦，夏雨滋润，足以养育万物。常比喻及时给人以教益和帮助。
金风送爽 金风指秋天的风。古时以阴阳五行解释季节，秋为金。秋风带来了凉意。
枭心鹤貌 比喻心恶貌善。
剖心析肝 形容掬诚相示。亦作剖心坼肝”。
风清弊绝 贪污、舞弊的事情没有了。形容坏事绝迹，社会风气良好。
避而不谈 躲避开而不肯说。指有意回避事实。
以人废言 以因为；废废弃。因为说话人的地位的低下或犯有错误就不采纳他所说的正确的意见。
遵而不失 遵照先人的典章制度而不违失。
弊绝风清 弊坏事；清洁净。贪污、舞弊的事情没有了。形容坏事绝迹，社会风气良好。
不世之业 不世非常、非凡。稀世罕有的功业。
无胫而行 胫小腿。没有腿而能行走。比喻事物用不着推行，能迅速传播。
泣不成声 哭得噎住了，出不来声音。形容非常伤心。
变色之言 使脸色改变的话。多指为争论是非曲直而冲动发怒时说的话。
蛇蝎心肠 蝎一种蜘蛛类的毒虫。形容心肠狠毒。
实获我心 表示别人说得跟自己的想法一样。
量力而行 量估量；行行事。按照自己力量的大小去做，不要勉强。
博而不精 形容学识丰富，但不精深。
华而不实 华开花。花开得好看，但不结果实。比喻外表好看，内容空虚。
风口浪尖 比喻激烈尖锐的社会斗争前哨。
惊才风逸 指惊人的才华像风飘逸。
宿水飡风 形容旅途或野外生活的艰苦。同宿水餐风”。
临风对月 面对清风明月。形容所处的景色非常容易引发人的思绪。
言方行圆 指言论正直而行为圆滑。
弄月吟风 指赏玩、吟咏风月美景。
变风易俗 指改变旧的风气和习俗。
遗风余俗 前代遗留下来的风俗。
乐而不淫 快乐而不过分。指表现的情感有节制。
不足为据 足够得上；据证据。不能作为依据。
丧心病狂 丧失理智，象发了疯一样。形容言行昏乱而荒谬，或残忍可恶到了极点。
吟风弄月 旧指文人写作或朗诵以风月等自然景色为题材的作品。现多形容作品空虚无聊。
遗风余思 前代遗留下来的风尚情思。
心虔志诚 虔恭敬。心意恭敬、诚恳。
言语道断 原为佛家语，指意义深奥微妙，无法用言辞表达◇指不能通过交谈、谈判的方法解决问题。
乐而不厌 喜爱而不厌倦。
无所不作 没有不干的事情。指什么坏事都干。同无所不为”。
春风野火 比喻迅猛之势。
水火不避 指不避艰险。
不避水火 指不畏凶险。
知情不举 举检举。了解情况而不揭发。
浮而不实 形容知识浅薄，基础不扎实；形容作风浮泛，不深入不踏实。
雨丝风片 形容春天的微风细雨。
不足轻重 犹言无关紧要。
林下风范 林下幽僻之境；风范风度。指女子态度娴雅、举止大方。
言清行浊 清清高；浊浑浊，指低下。说的是清白好话，十的是污浊坏事。形容人言行不一。
行浊言清 清清高；浊浑浊，指低下。说的是清白好话，十的是污浊坏事。形容人言行不一。
疾恶如风 痛恨坏人坏事就像狂风猛扫一样。
驴心狗肺 比喻人心凶狠恶毒。
眼高手生 眼界高但能力低。
相时而动 观察时机，针对具体情况采取行动。
鸮心鹺舌 鸮鸟的心，黄鹂的鸣声。比喻居心狠毒，但说话动听。
鸮心鹂舌 鸮鸟的心，黄鹂的鸣声。比喻居心狠毒，但说话动听。
油然而生 自然地产生（某种思想感情）。
使心用幸 用心机。同使心作幸”。
鱼贯而行 象游鱼一样一个跟着一个地接连着走。形容一个跟一个单行前进。
千金之子 旧指富贵人家的子弟。
以一知万 从了解一点到推知其他许多事物。
匠心独妙 匠心精巧的构思。独妙独到的巧妙。形容巧妙而独具一格的艺术构思。亦作匠心独出”、匠心独运”。
财迷心窍 指由于一心爱财而心中糊涂。
文人无行 喜欢玩弄文字的人，品行常常不端正。
寸草不生 寸草一点儿草。形容土地贫瘠，连一点儿草都不长。亦形容灾情严重。
自出一家 指在某一方面的学问或技术有独到的见解或独特的做法，能自成体系。
碧血丹心 满腔正义的热血，一颗赤诚的红心。形容十分忠诚坚定。
包藏奸心 犹言包藏祸心。
意气自若 自若不改常态，还像原来的样子。神情自然如常。比喻遇事神态自然，十分镇静。亦作意气自如”。
流风余韵 前代流传给后世的风雅韵事。
一言难尽 形容事情曲折复杂，不是一句话能说清楚的（用在不好的事）。
时不可失 时时机，机会；失错过。抓住时机，不可错过。
飘风暴雨 来势急遽而猛烈的风雨。
有口难言 言说。虽然有嘴，但话难以说出口。指有话不便说或不敢说。
余韵流风 传留后世的韵致风度。
自郐而下 表示自此以下的不值得评论。同自郐以下”。
引风吹火 引招来。利用风来吹火，使火越烧越旺。比喻从中煽动，挑起事端。
万死不辞 万死死一万次，形容冒生命危险。万一万次也不推辞。表示愿意拼死效劳。
叩心泣血 形容悲痛之极。
暗室欺心 在黑暗的屋子里昧着良心做坏事。指偷偷地做坏事。
自不量力 量估量。自己不估量自己的能力。指过高地估计自己的力量。
不自量力 量估量。自己不估量自己的能力。指过高地估计自己的实力。
坐言起行 坐能言，起能行。原指言论必须切实可行，后比喻说了就做。
心巧嘴乖 心思灵巧，能说会道。
无恶不作 没有哪件坏事不干的。指干尽了坏事。
乐而不荒 指表现的情感有节制。同乐而不淫”。
拊心泣血 形容内心悲痛之极。
齐心涤虑 净洁身心，清除杂念。同斋心涤虑”。
移风易俗 移改变；易变换。改变旧的风俗习惯。
得意门生 得意称心如意；门生亲授业的弟子或科举中试者对座师的自称◇泛指学生。最满意的弟子或学生。
心灵性巧 指心思灵巧。
椎心饮泣 犹言椎心泣血。捶拍胸膛，哭泣出血。形容非常悲痛。
负心违愿 负辜负。辜负和违背自己的心愿。
使心用倖 用心机。同使心作倖”。
易俗移风 改变习俗，转移风气。
狂风暴雨 指大风大雨。亦比喻猛烈的声势或处境险恶。
心在魏阙 指臣民心在朝廷，关心国事。魏阙，古代天子和诸侯宫外的楼观，其下悬布法令，因以代称朝廷。
刺心裂肝 指悲痛至极。
江心补漏 船到江心才补漏洞。指临到紧急关头才设法补救，为时已晚。
遗风旧俗 前代遗留下来的风俗习惯。
血雨腥风 风里夹着腥味，雨点带着鲜血。形容疯狂杀戮的凶险气氛或环境。
腥风血雨 风里夹着腥味，雨点带着鲜血。形容疯狂杀戮的凶险气氛或环境。
灵心慧齿 天资聪慧，口齿伶俐。
无地自容 没有地方可以让自己容身。形容非常羞愧。
雕风镂月 刻意吟风弄月。
山高水低 比喻不幸的事情。多指人的死亡。
心慌撩乱 心里慌张忙乱，心绪混乱。
一目十行 看书时同时可以看十行。形容看书非常快。
弄月嘲风 弄玩赏；嘲嘲笑；风、月泛指各种自然景物。指描写风云月露等景象而思想内容贫乏的写作。
嘲风弄月 嘲嘲笑；弄玩赏；风、月泛指各种自然景物。指描写风云月露等景象而思想内容贫乏的写作。
不远万里 不以万里为远。形容不怕路途遥远。
腹热心煎 形容心中焦急。
肺石风清 百姓可以站在上面控诉地方官。比喻法庭裁判公正。
不经之语 指荒诞无稽、没有根据的话。
煞费苦心 煞委。形容费尽心思。
过目不忘 看过就不忘记。形容记忆力非常强。
